Company Location,Company Size,Employee Residence,Employment Type,Experience Level,Job Title,Salary Currency,Work Year,F1,Remote Ratio,Salary,Salary In Usd
US,Medium,US,Full Time,Intermediate Level,Data Analyst,USD,2022,308,0,126500,126500
US,Medium,US,Full Time,Expert Level,Data Engineer,USD,2022,309,100,242000,242000
US,Medium,US,Full Time,Expert Level,Data Engineer,USD,2022,310,100,200000,200000
GB,Medium,GB,Full Time,Intermediate Level,Data Scientist,GBP,2022,311,0,50000,65438
GB,Medium,GB,Full Time,Intermediate Level,Data Scientist,GBP,2022,312,0,30000,39263
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,313,0,60000,78526
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,314,0,40000,52351
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,315,100,165220,165220
GB,Medium,GB,Full Time,Entry Level,Data Engineer,GBP,2022,316,100,35000,45807
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,317,100,120160,120160
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,318,100,90320,90320
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,319,0,181940,181940
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,320,0,132320,132320
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,321,0,220110,220110
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,322,0,160080,160080
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2022,323,0,180000,180000
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2022,324,0,120000,120000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,325,100,124190,124190
US,Medium,US,Full Time,Expert Level,Data Analyst,USD,2022,326,100,130000,130000
US,Medium,US,Full Time,Expert Level,Data Analyst,USD,2022,327,100,110000,110000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,328,100,170000,170000
US,Medium,US,Full Time,Intermediate Level,Data Analyst,USD,2022,329,100,115500,115500
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,330,100,112900,112900
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,331,100,90320,90320
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,332,100,112900,112900
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,333,100,90320,90320
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,334,100,165400,165400
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,335,100,132320,132320
US,Medium,US,Full Time,Intermediate Level,Data Analyst,USD,2022,336,100,167000,167000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,337,100,243900,243900
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,338,100,136600,136600
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,339,100,109280,109280
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,340,100,128875,128875
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,341,100,93700,93700
US,Medium,US,Full Time,Expert Level,Head of Data Science,USD,2022,342,100,224000,224000
US,Medium,US,Full Time,Expert Level,Head of Data Science,USD,2022,343,100,167875,167875
US,Medium,US,Full Time,Expert Level,Analytics Engineer,USD,2022,344,100,175000,175000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,345,100,156600,156600
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,346,0,108800,108800
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,347,0,95550,95550
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2022,348,0,113000,113000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,349,100,135000,135000
US,Medium,US,Full Time,Senior Level,Data Science Manager,USD,2022,350,100,161342,161342
US,Medium,US,Full Time,Senior Level,Data Science Manager,USD,2022,351,100,137141,137141
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,352,100,167000,167000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,353,100,123000,123000
GB,Medium,GB,Full Time,Senior Level,Data Engineer,GBP,2022,354,0,60000,78526
GB,Medium,GB,Full Time,Senior Level,Data Engineer,GBP,2022,355,0,50000,65438
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,356,0,150000,150000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,357,100,211500,211500
CA,Medium,CA,Full Time,Senior Level,Data Architect,USD,2022,358,100,192400,192400
CA,Medium,CA,Full Time,Senior Level,Data Architect,USD,2022,359,100,90700,90700
CA,Medium,CA,Full Time,Senior Level,Data Analyst,USD,2022,360,100,130000,130000
CA,Medium,CA,Full Time,Senior Level,Data Analyst,USD,2022,361,100,61300,61300
CA,Medium,CA,Full Time,Senior Level,Data Analyst,USD,2022,362,100,130000,130000
CA,Medium,CA,Full Time,Senior Level,Data Analyst,USD,2022,363,100,61300,61300
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2022,364,0,160000,160000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,365,100,138600,138600
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,366,0,136000,136000
US,Small,US,Full Time,Intermediate Level,Data Analyst,USD,2022,367,0,58000,58000
US,Medium,US,Full Time,Expert Level,Analytics Engineer,USD,2022,368,100,135000,135000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,369,100,170000,170000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,370,100,123000,123000
US,Medium,US,Full Time,Senior Level,Machine Learning Engineer,USD,2022,371,0,189650,189650
US,Medium,US,Full Time,Senior Level,Machine Learning Engineer,USD,2022,372,0,164996,164996
GR,Medium,GR,Full Time,Intermediate Level,ETL Developer,EUR,2022,373,0,50000,54957
GR,Medium,GR,Full Time,Intermediate Level,ETL Developer,EUR,2022,374,0,50000,54957
CA,Small,CA,Full Time,Expert Level,Lead Data Engineer,CAD,2022,375,100,150000,118187
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,376,0,132000,132000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,377,100,165400,165400
US,Medium,US,Full Time,Senior Level,Data Architect,USD,2022,378,100,208775,208775
US,Medium,US,Full Time,Senior Level,Data Architect,USD,2022,379,100,147800,147800
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,380,100,136994,136994
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,381,100,101570,101570
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,382,100,128875,128875
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,383,100,93700,93700
IN,Large,IN,Full Time,Expert Level,Head of Machine Learning,INR,2022,384,50,6000000,79039
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,385,100,132320,132320
GB,Large,GB,Full Time,Entry Level,Machine Learning Engineer,GBP,2022,386,100,28500,37300
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,387,0,164000,164000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,388,100,155000,155000
GB,Medium,GB,Full Time,Intermediate Level,Machine Learning Engineer,GBP,2022,389,0,95000,124333
GB,Medium,GB,Full Time,Intermediate Level,Machine Learning Engineer,GBP,2022,390,0,75000,98158
US,Medium,US,Full Time,Intermediate Level,AI Scientist,USD,2022,391,0,120000,120000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,392,100,112900,112900
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,393,100,90320,90320
US,Medium,US,Full Time,Senior Level,Data Analytics Manager,USD,2022,394,100,145000,145000
US,Medium,US,Full Time,Senior Level,Data Analytics Manager,USD,2022,395,100,105400,105400
DE,Medium,FR,Full Time,Intermediate Level,Machine Learning Engineer,EUR,2022,396,100,80000,87932
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,397,0,90000,117789
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2022,398,100,215300,215300
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2022,399,100,158200,158200
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2022,400,100,209100,209100
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2022,401,100,154600,154600
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,402,0,115934,115934
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,403,0,81666,81666
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,404,100,175000,175000
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,405,0,75000,98158
US,Small,US,Full Time,Intermediate Level,Data Analyst,USD,2022,406,0,58000,58000
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2022,407,100,183600,183600
GB,Medium,GB,Full Time,Intermediate Level,Data Analyst,GBP,2022,408,100,40000,52351
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,409,100,180000,180000
GB,Medium,GB,Full Time,Intermediate Level,Data Scientist,GBP,2022,410,0,55000,71982
GB,Medium,GB,Full Time,Intermediate Level,Data Scientist,GBP,2022,411,0,35000,45807
GR,Medium,GR,Full Time,Intermediate Level,Data Engineer,EUR,2022,412,100,60000,65949
GR,Medium,GR,Full Time,Intermediate Level,Data Engineer,EUR,2022,413,100,45000,49461
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,414,100,60000,78526
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,415,100,45000,58894
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,416,100,260000,260000
MX,Large,AR,Full Time,Senior Level,Data Science Engineer,USD,2022,417,100,60000,60000
US,Medium,US,Full Time,Intermediate Level,Data Engineer,USD,2022,418,0,63900,63900
US,Large,US,Full Time,Intermediate Level,Machine Learning Scientist,USD,2022,419,100,160000,160000
US,Large,US,Full Time,Intermediate Level,Machine Learning Scientist,USD,2022,420,100,112300,112300
US,Medium,US,Full Time,Intermediate Level,Data Science Manager,USD,2022,421,100,241000,241000
US,Medium,US,Full Time,Intermediate Level,Data Science Manager,USD,2022,422,100,159000,159000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,423,0,180000,180000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,424,0,80000,80000
US,Medium,US,Full Time,Intermediate Level,Data Engineer,USD,2022,425,0,82900,82900
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2022,426,100,100800,100800
ES,Medium,ES,Full Time,Intermediate Level,Data Engineer,EUR,2022,427,100,45000,49461
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2022,428,0,140400,140400
GB,Medium,GB,Full Time,Intermediate Level,Data Analyst,GBP,2022,429,100,30000,39263
ES,Medium,ES,Full Time,Intermediate Level,Data Analyst,EUR,2022,430,100,40000,43966
ES,Medium,ES,Full Time,Intermediate Level,Data Analyst,EUR,2022,431,100,30000,32974
ES,Medium,ES,Full Time,Intermediate Level,Data Engineer,EUR,2022,432,100,80000,87932
ES,Medium,ES,Full Time,Intermediate Level,Data Engineer,EUR,2022,433,100,70000,76940
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,434,100,80000,104702
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,435,100,70000,91614
ES,Medium,ES,Full Time,Intermediate Level,Data Engineer,EUR,2022,436,100,60000,65949
GR,Medium,GR,Full Time,Intermediate Level,Data Engineer,EUR,2022,437,100,80000,87932
US,Medium,US,Full Time,Senior Level,Machine Learning Engineer,USD,2022,438,0,189650,189650
US,Medium,US,Full Time,Senior Level,Machine Learning Engineer,USD,2022,439,0,164996,164996
GR,Medium,GR,Full Time,Intermediate Level,Data Analyst,EUR,2022,440,100,40000,43966
GR,Medium,GR,Full Time,Intermediate Level,Data Analyst,EUR,2022,441,100,30000,32974
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,442,100,75000,98158
GB,Medium,GB,Full Time,Intermediate Level,Data Engineer,GBP,2022,443,100,60000,78526
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2022,444,0,215300,215300
GR,Medium,GR,Full Time,Intermediate Level,Data Engineer,EUR,2022,445,100,70000,76940
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2022,446,100,209100,209100
US,Large,US,Full Time,Senior Level,Data Engineer,USD,2022,447,100,154600,154600
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,448,100,180000,180000
PT,Large,PT,Full Time,Entry Level,ML Engineer,EUR,2022,449,100,20000,21983
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,450,100,80000,80000
CA,Medium,CA,Full Time,Intermediate Level,Machine Learning Developer,CAD,2022,451,100,100000,78791
CA,Large,CA,Full Time,Expert Level,Director of Data Science,CAD,2022,452,50,250000,196979
US,Small,US,Full Time,Intermediate Level,Machine Learning Engineer,USD,2022,453,100,120000,120000
US,Medium,US,Full Time,Entry Level,Computer Vision Engineer,USD,2022,454,0,125000,125000
US,Large,US,Full Time,Intermediate Level,NLP Engineer,CNY,2022,455,50,240000,37236
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,456,100,105000,105000
DE,Medium,DE,Full Time,Senior Level,Lead Machine Learning Engineer,EUR,2022,457,0,80000,87932
IN,Medium,IN,Full Time,Intermediate Level,Business Data Analyst,INR,2022,458,100,1400000,18442
IN,Large,IN,Full Time,Intermediate Level,Data Scientist,INR,2022,459,100,2400000,31615
PT,Large,PT,Full Time,Intermediate Level,Machine Learning Infrastructure Engineer,EUR,2022,460,50,53000,58255
US,Large,US,Full Time,Entry Level,Financial Data Analyst,USD,2022,461,50,100000,100000
DE,Large,DE,Part Time,Intermediate Level,Data Engineer,EUR,2022,462,50,50000,54957
IN,Medium,IN,Full Time,Entry Level,Data Scientist,INR,2022,463,100,1400000,18442
DE,Medium,DE,Full Time,Senior Level,Principal Data Scientist,EUR,2022,464,100,148000,162674
US,Medium,US,Full Time,Entry Level,Data Engineer,USD,2022,465,100,120000,120000
US,Large,US,Full Time,Senior Level,Research Scientist,USD,2022,466,50,144000,144000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,467,100,104890,104890
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,468,100,100000,100000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,469,100,140000,140000
US,Medium,US,Full Time,Intermediate Level,Data Analyst,USD,2022,470,100,135000,135000
US,Medium,US,Full Time,Intermediate Level,Data Analyst,USD,2022,471,100,50000,50000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,472,100,220000,220000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,473,100,140000,140000
GB,Medium,GB,Full Time,Intermediate Level,Data Scientist,GBP,2022,474,0,140000,183228
GB,Medium,GB,Full Time,Intermediate Level,Data Scientist,GBP,2022,475,0,70000,91614
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,476,100,185100,185100
US,Medium,US,Full Time,Senior Level,Machine Learning Engineer,USD,2022,477,100,220000,220000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,478,100,200000,200000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,479,100,120000,120000
AE,Small,AE,Full Time,Senior Level,Machine Learning Engineer,USD,2022,480,100,120000,120000
AE,Small,AE,Full Time,Senior Level,Machine Learning Engineer,USD,2022,481,100,65000,65000
US,Medium,US,Full Time,Expert Level,Data Engineer,USD,2022,482,100,324000,324000
US,Medium,US,Full Time,Expert Level,Data Engineer,USD,2022,483,100,216000,216000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,484,100,210000,210000
US,Medium,US,Full Time,Senior Level,Machine Learning Engineer,USD,2022,485,100,120000,120000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,486,100,230000,230000
DZ,Medium,DZ,Part Time,Entry Level,Data Scientist,USD,2022,487,50,100000,100000
US,Medium,CA,Freelance,Intermediate Level,Data Scientist,USD,2022,488,100,100000,100000
CZ,Medium,TN,Contract,Entry Level,Applied Machine Learning Scientist,EUR,2022,489,100,29000,31875
US,Medium,MY,Full Time,Senior Level,Head of Data,USD,2022,490,100,200000,200000
CA,Small,CA,Full Time,Intermediate Level,Principal Data Analyst,USD,2022,491,100,75000,75000
PL,Large,PL,Full Time,Intermediate Level,Data Scientist,PLN,2022,492,100,150000,35590
CA,Medium,CA,Full Time,Senior Level,Machine Learning Developer,CAD,2022,493,100,100000,78791
US,Medium,BR,Full Time,Senior Level,Data Scientist,USD,2022,494,100,100000,100000
US,Medium,US,Full Time,Intermediate Level,Machine Learning Scientist,USD,2022,495,50,153000,153000
DE,Medium,PK,Full Time,Entry Level,Data Engineer,EUR,2022,496,100,52800,58035
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,497,100,165000,165000
FR,Large,FR,Full Time,Senior Level,Research Scientist,EUR,2022,498,50,85000,93427
CA,Large,CA,Full Time,Entry Level,Data Scientist,CAD,2022,499,100,66500,52396
NL,Large,NL,Full Time,Senior Level,Machine Learning Engineer,EUR,2022,500,100,57000,62651
EE,Small,EE,Full Time,Intermediate Level,Head of Data,EUR,2022,501,100,30000,32974
MY,Large,JP,Full Time,Entry Level,Data Scientist,USD,2022,502,100,40000,40000
AU,Large,AU,Full Time,Intermediate Level,Machine Learning Engineer,AUD,2022,503,100,121000,87425
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,504,100,115000,115000
AU,Medium,AU,Full Time,Entry Level,Data Scientist,AUD,2022,505,50,120000,86703
US,Large,BO,Full Time,Intermediate Level,Applied Machine Learning Scientist,USD,2022,506,100,75000,75000
AT,Large,AT,Full Time,Intermediate Level,Research Scientist,EUR,2022,507,0,59000,64849
US,Large,US,Full Time,Entry Level,Research Scientist,USD,2022,508,100,120000,120000
US,Large,US,Full Time,Intermediate Level,Applied Data Scientist,USD,2022,509,100,157000,157000
AU,Small,AU,Full Time,Entry Level,Computer Vision Software Engineer,USD,2022,510,100,150000,150000
CA,Large,CA,Full Time,Intermediate Level,Business Data Analyst,CAD,2022,511,50,90000,70912
US,Small,US,Full Time,Entry Level,Data Engineer,USD,2022,512,100,65000,65000
IE,Small,IE,Full Time,Senior Level,Machine Learning Engineer,EUR,2022,513,100,65000,71444
PK,Medium,PK,Full Time,Entry Level,Data Analytics Engineer,USD,2022,514,0,20000,20000
US,Small,RU,Full Time,Intermediate Level,Data Scientist,USD,2022,515,100,48000,48000
US,Medium,US,Full Time,Senior Level,Data Science Manager,USD,2022,516,100,152500,152500
FR,Medium,FR,Full Time,Intermediate Level,Data Engineer,EUR,2022,517,100,62000,68147
CH,Large,CH,Full Time,Intermediate Level,Data Scientist,CHF,2022,518,0,115000,122346
US,Large,US,Full Time,Senior Level,Applied Data Scientist,USD,2022,519,100,380000,380000
CA,Medium,CA,Full Time,Intermediate Level,Data Scientist,CAD,2022,520,100,88000,69336
LU,Medium,PT,Full Time,Entry Level,Computer Vision Engineer,USD,2022,521,100,10000,10000
GR,Small,GR,Full Time,Intermediate Level,Data Analyst,USD,2022,522,100,20000,20000
US,Large,US,Full Time,Senior Level,Data Analytics Lead,USD,2022,523,100,405000,405000
US,Large,US,Full Time,Intermediate Level,Data Scientist,USD,2022,524,100,135000,135000
US,Large,US,Full Time,Senior Level,Applied Data Scientist,USD,2022,525,100,177000,177000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,526,100,78000,78000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,527,100,135000,135000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,528,100,100000,100000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,529,100,90320,90320
CA,Medium,CA,Full Time,Intermediate Level,Data Analyst,USD,2022,530,0,85000,85000
CA,Medium,CA,Full Time,Intermediate Level,Data Analyst,USD,2022,531,0,75000,75000
US,Medium,US,Full Time,Senior Level,Machine Learning Engineer,USD,2022,532,100,214000,214000
US,Medium,US,Full Time,Senior Level,Machine Learning Engineer,USD,2022,533,100,192600,192600
US,Medium,US,Full Time,Senior Level,Data Architect,USD,2022,534,100,266400,266400
US,Medium,US,Full Time,Senior Level,Data Architect,USD,2022,535,100,213120,213120
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,536,100,112900,112900
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,537,100,155000,155000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,538,0,141300,141300
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,539,0,102100,102100
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,540,100,115934,115934
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,541,100,81666,81666
US,Medium,US,Full Time,Intermediate Level,Data Engineer,USD,2022,542,0,206699,206699
US,Medium,US,Full Time,Intermediate Level,Data Engineer,USD,2022,543,0,99100,99100
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,544,100,130000,130000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,545,100,115000,115000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,546,100,110500,110500
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,547,100,130000,130000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,548,100,99050,99050
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,549,100,160000,160000
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2022,550,0,205300,205300
US,Large,US,Full Time,Senior Level,Data Scientist,USD,2022,551,0,140400,140400
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,552,100,176000,176000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,553,100,144000,144000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,554,100,200100,200100
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,555,100,160000,160000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,556,100,145000,145000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,557,0,70500,70500
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,558,0,205300,205300
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,559,0,140400,140400
US,Medium,US,Full Time,Senior Level,Analytics Engineer,USD,2022,560,0,205300,205300
US,Medium,US,Full Time,Senior Level,Analytics Engineer,USD,2022,561,0,184700,184700
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,562,100,175100,175100
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,563,100,140250,140250
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,564,100,116150,116150
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,565,0,54000,54000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,566,100,170000,170000
GB,Medium,GB,Full Time,Intermediate Level,Data Analyst,GBP,2022,567,0,50000,65438
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,568,100,80000,80000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,569,100,140000,140000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,570,100,210000,210000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,571,100,140000,140000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,572,100,100000,100000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,573,100,69000,69000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,574,100,210000,210000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,575,100,140000,140000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,576,100,210000,210000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,577,100,150075,150075
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,578,100,100000,100000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,579,100,25000,25000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,580,100,126500,126500
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,581,100,106260,106260
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,582,100,220110,220110
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,583,100,160080,160080
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,584,100,105000,105000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,585,100,110925,110925
GB,Medium,GB,Full Time,Intermediate Level,Data Analyst,GBP,2022,586,0,35000,45807
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,587,100,140000,140000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,588,0,99000,99000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,589,100,60000,60000
US,Medium,US,Full Time,Senior Level,Data Architect,USD,2022,590,100,192564,192564
US,Medium,US,Full Time,Senior Level,Data Architect,USD,2022,591,100,144854,144854
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,592,100,230000,230000
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,593,100,150000,150000
US,Medium,US,Full Time,Senior Level,Data Analytics Manager,USD,2022,594,100,150260,150260
US,Medium,US,Full Time,Senior Level,Data Analytics Manager,USD,2022,595,100,109280,109280
US,Medium,US,Full Time,Senior Level,Data Scientist,USD,2022,596,100,210000,210000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,597,100,170000,170000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,598,100,160000,160000
US,Medium,US,Full Time,Intermediate Level,Data Scientist,USD,2022,599,100,130000,130000
CA,Medium,CA,Full Time,Entry Level,Data Analyst,USD,2022,600,0,67000,67000
CA,Medium,CA,Full Time,Entry Level,Data Analyst,USD,2022,601,0,52000,52000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,602,100,154000,154000
US,Medium,US,Full Time,Senior Level,Data Engineer,USD,2022,603,100,126000,126000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,604,0,129000,129000
US,Medium,US,Full Time,Senior Level,Data Analyst,USD,2022,605,100,150000,150000
US,Large,IN,Full Time,Intermediate Level,AI Scientist,USD,2022,606,100,200000,200000
